"N°";"fokontany";"Kaomina";"Distrika";"Region";"Province"
"1";"Ampasina";"Andina";"Ambositra";"Amoron'i Mania";"Fianarantsoa"
"2";"Antanifotsy";"Andina";"Ambositra";"Amoron'i Mania";"Fianarantsoa"
"3";"Amboloando";"Andiolava";"Ihosy";"Ihorombe";"Fianarantsoa"
"4";"Vatambe Nanarena";"Andiolava";"Ihosy";"Ihorombe";"Fianarantsoa"
"5";"Vohimary";"Andiolava";"Ihosy";"Ihorombe";"Fianarantsoa"
"6";"Andiolava";"Andiolava";"Ihosy";"Ihorombe";"Fianarantsoa"
"7";"Ankazoabokely";"Andiolava";"Ihosy";"Ihorombe";"Fianarantsoa"
"8";"Ambatofotsy";"Andiolava";"Ihosy";"Ihorombe";"Fianarantsoa"
"9";"Ambondrobe";"Andiolava";"Ihosy";"Ihorombe";"Fianarantsoa"
"10";"Ambodimanga Seranana";"Andohajango";"Mandritsara";"Sofia";"Mahajanga"
"11";"Ampombilava";"Andohajango";"Mandritsara";"Sofia";"Mahajanga"
"12";"Antsiradrano";"Andohajango";"Mandritsara";"Sofia";"Mahajanga"
"13";"Befotaka";"Andohajango";"Mandritsara";"Sofia";"Mahajanga"
"14";"Bekilandy";"Andohajango";"Mandritsara";"Sofia";"Mahajanga"
"15";"Sahantona";"Andohajango";"Mandritsara";"Sofia";"Mahajanga"
"16";"Maroadabohely";"Andohajango";"Mandritsara";"Sofia";"Mahajanga"
"17";"Andohajango";"Andohajango";"Mandritsara";"Sofia";"Mahajanga"
"18";"Antendrombohilava";"Andilana Nord";\N;\N;\N
"19";"Ampasika";"Andilana Nord";\N;\N;\N
"20";"Morarano Mandroso";"Andilana Nord";\N;\N;\N
"21";"Vohimarina";"Andilana Nord";\N;\N;\N
"22";"Analavondro";"Andilana Nord";\N;\N;\N
"23";"Andratsiolona";"Andilana Nord";\N;\N;\N
"24";"Andilana Nord";"Andilana Nord";\N;\N;\N
"25";"Antsapanimahazo";"Andilanatoby";"Ambatondrazaka";"Alaotra-Mangoro";"Toamasina"
"26";"Ambodifiakarana";"Andilanatoby";"Ambatondrazaka";"Alaotra-Mangoro";"Toamasina"
"27";"Ambohimiarina";"Andilanatoby";"Ambatondrazaka";"Alaotra-Mangoro";"Toamasina"
"28";"Ambohimasina";"Andilanatoby";"Ambatondrazaka";"Alaotra-Mangoro";"Toamasina"
"29";"Ambodinonoka";"Andilanatoby";"Ambatondrazaka";"Alaotra-Mangoro";"Toamasina"
