Region	District	Commune	Fokontany
ANALAMANGA	Ambohidratrimo	Ambato	Ambanimaso
ANALAMANGA	Ambohidratrimo	Ambato	Ambato
ANALAMANGA	Ambohidratrimo	Ambato	Ambatoharanana
ANALAMANGA	Ambohidratrimo	Ambato	Ambodimanga
ANALAMANGA	Ambohidratrimo	Ambato	Ambohijorery
ANALAMANGA	Ambohidratrimo	Ambato	Ambohimitsinjorano
ANALAMANGA	Ambohidratrimo	Ambato	Ampanotokana
ANALAMANGA	Ambohidratrimo	Ambato	Ankadibe
ANALAMANGA	Ambohidratrimo	Ambato	Ankafotra
ANALAMANGA	Ambohidratrimo	Ambato	Antanetibe
ANALAMANGA	Ambohidratrimo	Ambato	Antsahalava
ANALAMANGA	Ambohidratrimo	Ambato	Mahitsitady
ANALAMANGA	Ambohidratrimo	Ambato	Miaramasoandro
ANALAMANGA	Ambohidratrimo	Ambato	Soaloka
ANALAMANGA	Ambohidratrimo	Ambato	Vatovandana
ANALAMANGA	Ambohidratrimo	Ambatolampy	Ambatolampy
ANALAMANGA	Ambohidratrimo	Ambatolampy	Ambodifasina
ANALAMANGA	Ambohidratrimo	Ambatolampy	Ambohidava
ANALAMANGA	Ambohidratrimo	Ambatolampy	Ambohimarina
ANALAMANGA	Ambohidratrimo	Ambatolampy	Ambohinome
ANALAMANGA	Ambohidratrimo	Ambatolampy	Anjomakely
ANALAMANGA	Ambohidratrimo	Ambatolampy	Avarajozoro
ANALAMANGA	Ambohidratrimo	Ambatolampy	Soavinarivo
ANALAMANGA	Ambohidratrimo	Antehiroka	Amboaroy
ANALAMANGA	Ambohidratrimo	Antehiroka	Ambohibao
ANALAMANGA	Ambohidratrimo	Antehiroka	Ambohijanahary
ANALAMANGA	Ambohidratrimo	Antehiroka	Andranoro
ANALAMANGA	Ambohidratrimo	Antehiroka	Ankadivory
ANALAMANGA	Ambohidratrimo	Antehiroka	Antalamohitra
ANALAMANGA	Ambohidratrimo	Antehiroka	Antanetibe
ANALAMANGA	Ambohidratrimo	Antehiroka	Antsakambahiny
ANALAMANGA	Ambohidratrimo	Antehiroka	Morondava
ANALAMANGA	Ambohidratrimo	Ambohidratrimo	Ambodehilahy
ANALAMANGA	Ambohidratrimo	Ambohidratrimo	Ambodisaha
ANALAMANGA	Ambohidratrimo	Ambohidratrimo	Ambohidratrimo
ANALAMANGA	Ambohidratrimo	Ambohidratrimo	"Ambohitsiroa Est"
ANALAMANGA	Ambohidratrimo	Ambohidratrimo	Ambovo
ANALAMANGA	Ambohidratrimo	Ambohidratrimo	Ampanataovana
ANALAMANGA	Ambohidratrimo	Ambohidratrimo	Antohibe
ANALAMANGA	Ambohidratrimo	Ambohidratrimo	Antsimomparihy
ANALAMANGA	Ambohidratrimo	Ambohidratrimo	Soamananety
ANALAMANGA	Ambohidratrimo	Ambohimanjaka	Ambohidrazaka
ANALAMANGA	Ambohidratrimo	Ambohimanjaka	Ambohimanjaka
ANALAMANGA	Ambohidratrimo	Ambohimanjaka	"Ambohimarina ouest"
ANALAMANGA	Ambohidratrimo	Ambohimanjaka	Ambohitrinibe
